i,s,t,capacity
Machine 5,9,2031,4032.0
Machine 5,9,2032,4032.0
Machine 1,10,2025,8520.0
Machine 1,10,2026,8520.0
Machine 1,10,2027,8520.0
Machine 1,10,2028,8520.0
Machine 1,10,2029,8520.0
Machine 1,10,2030,8520.0
Machine 1,10,2031,8520.0
Machine 1,10,2032,8520.0
Machine 2,10,2025,8520.0
Machine 2,10,2026,8520.0
Machine 2,10,2027,8483.0
Machine 2,10,2028,8507.0
Machine 2,10,2029,8483.0
Machine 2,10,2030,8483.0
Machine 2,10,2031,8483.0
Machine 2,10,2032,8507.0
Machine 3,10,2025,8520.0
Machine 3,10,2026,8520.0
Machine 3,10,2027,8483.0
Machine 3,10,2028,8507.0
Machine 3,10,2029,6509.0
Machine 3,10,2030,6509.0
Machine 3,10,2031,6509.0
Machine 3,10,2032,6509.0
Machine 4,10,2025,4852.0
Machine 4,10,2026,3952.0
Machine 4,10,2027,3912.0
Machine 4,10,2028,3936.0
Machine 4,10,2029,3936.0
Machine 4,10,2030,3936.0
Machine 4,10,2031,3936.0
Machine 4,10,2032,3936.0
Machine 5,10,2025,5131.0
Machine 5,10,2026,4604.0
Machine 5,10,2027,4032.0
Machine 5,10,2028,4032.0
Machine 5,10,2029,4032.0
Machine 5,10,2030,4032.0
Machine 5,10,2031,4032.0
Machine 5,10,2032,4032.0
Machine 1,11,2025,8520.0
Machine 1,11,2026,8520.0
Machine 1,11,2027,8520.0
Machine 1,11,2028,8520.0
Machine 1,11,2029,8520.0
Machine 1,11,2030,8520.0
Machine 1,11,2031,8520.0
Machine 1,11,2032,8520.0
Machine 2,11,2025,8520.0
Machine 2,11,2026,8520.0
Machine 2,11,2027,8483.0
Machine 2,11,2028,8507.0
Machine 2,11,2029,8483.0
Machine 2,11,2030,8483.0
Machine 2,11,2031,8483.0
Machine 2,11,2032,8507.0
Machine 3,11,2025,8520.0
Machine 3,11,2026,8520.0
Machine 3,11,2027,8483.0
Machine 3,11,2028,8507.0
Machine 3,11,2029,6509.0
Machine 3,11,2030,6509.0
Machine 3,11,2031,6509.0
Machine 3,11,2032,6509.0
Machine 4,11,2025,4852.0
Machine 4,11,2026,3952.0
Machine 4,11,2027,3912.0
