scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
45,0.012345679012345678,Flat,Decrease,Increase,Increase,192063.00452097863,180181.36529064717,168603.66485664356,177057.01324076267,192811.8050507551,180181.36529064723,180766.4835821184,180181.36529064717,192063.0045209786
46,0.012345679012345678,Flat,Decrease,Increase,Flat,185125.4227769925,180181.36529064723,161666.08311265748,177057.01324076267,185874.2233067689,180181.36529064723,180766.4835821184,180181.36529064723,185125.42277699255
47,0.012345679012345678,Flat,Decrease,Increase,Decrease,177374.70632680165,180096.7384426876,154728.5013686713,171009.69620158293,180766.48358211838,180096.7384426876,180681.85673415882,180096.7384426876,177374.70632680168
48,0.012345679012345678,Flat,Decrease,Flat,Increase,188594.21364898552,180181.3652906472,165134.8739846505,173588.2223687696,189343.01417876198,180181.36529064726,180766.48358211847,180181.3652906472,188594.21364898555
49,0.012345679012345678,Flat,Decrease,Flat,Flat,181656.63190499943,180181.3652906472,158197.29224066442,173588.2223687696,182405.4324347758,180181.36529064723,180766.4835821184,180181.3652906472,181656.6319049995
50,0.012345679012345678,Flat,Decrease,Flat,Decrease,173905.9154548086,178838.5910940729,151259.71049667828,167540.90532958988,179423.70938554406,178838.5910940729,179423.70938554412,178838.5910940729,173905.91545480862
51,0.012345679012345678,Flat,Decrease,Decrease,Increase,185125.42277699243,180181.3652906472,161666.08311265748,170119.43149677652,185874.22330676895,180181.36529064723,180766.4835821184,180181.3652906472,185125.4227769925
52,0.012345679012345678,Flat,Decrease,Decrease,Flat,178187.84103300638,180181.36529064717,154728.50136867128,170119.43149677652,180766.4835821184,180181.36529064717,180766.48358211835,180181.36529064717,178187.8410330064
53,0.012345679012345678,Flat,Decrease,Decrease,Decrease,170437.1245828155,176510.02413367206,147790.91962468516,164072.1144575968,177095.14242514328,176510.02413367212,177095.14242514333,176510.02413367206,170437.12458281554
54,0.012345679012345678,Decrease,Increase,Increase,Increase,199437.6507360432,180923.94141601984,176652.2315485069,190168.7443724192,200186.45126581966,180923.94141601984,181509.05970749102,180923.94141601984,199437.65073604326
55,0.012345679012345678,Decrease,Increase,Increase,Flat,192500.06899205715,180923.94141601978,169714.64980452077,188599.83872252036,193248.8696307186,180923.9414160198,181509.05970749102,180923.94141601978,192500.06899205712
56,0.012345679012345678,Decrease,Increase,Increase,Decrease,180602.36554022238,180923.94141601978,162777.06806053466,177667.98072367185,186311.28777784738,180923.9414160198,181509.05970749102,180923.94141601978,180602.36554022238
57,0.012345679012345678,Decrease,Increase,Flat,Increase,195968.85986405014,180923.94141601984,173183.44067651386,186699.95350042614,196717.66039382658,180923.94141601984,181509.05970749102,180923.94141601984,195968.8598640502
58,0.012345679012345678,Decrease,Increase,Flat,Flat,189031.2781200641,180923.9414160198,166245.8589325277,185131.0478505273,189780.07864984043,180923.94141601984,181509.05970749102,180923.9414160198,189031.27812006406
59,0.012345679012345678,Decrease,Increase,Flat,Decrease,177133.57466822932,180660.81701644094,159308.27718854157,174199.1898516788,182842.49690585432,180666.67579822277,181251.79408969398,180660.81701644094,177133.57466822932
60,0.012345679012345678,Decrease,Increase,Decrease,Increase,192500.0689920571,180923.94141601984,169714.64980452077,183231.16262843306,193248.8695218335,180923.94141601984,181509.05970749102,180923.94141601984,192500.06899205712
61,0.012345679012345678,Decrease,Increase,Decrease,Flat,185562.487248071,180923.9414160198,162777.06806053463,181662.25697853422,186311.28777784738,180923.94141601984,181509.05970749102,180923.9414160198,185562.48724807097
62,0.012345679012345678,Decrease,Increase,Decrease,Decrease,173664.78379623627,179226.64145125003,155839.48631654846,170730.39897968568,181072.38517201968,179226.64145125,179811.75974272122,179226.64145125003,173664.78379623624
63,0.012345679012345678,Decrease,Flat,Increase,Increase,192063.0045209787,180181.36529064714,168603.66485664353,183689.08333045465,192811.8061684339,180181.3652906472,180766.4835821184,180181.36529064714,192063.00452097866
64,0.012345679012345678,Decrease,Flat,Increase,Flat,185125.42277699252,180181.36529064717,161666.0831126574,182120.17768055582,185874.22330676886,180181.3652906472,180766.4835821184,180181.36529064717,185125.42277699252
65,0.012345679012345678,Decrease,Flat,Increase,Decrease,173227.71932515776,180096.7384426876,154728.50136867128,171188.3196817073,180766.48358211838,180096.73844268764,180681.85673415882,180096.7384426876,173227.71932515776
