analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,growth_demand_level,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
3,Launch products vs growth demand level,24,25,1,3,0,45,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128521.82802858594,54722.0122114167,52181.77373195914,9,7,8,6,5,4,73799.81581716923,76340.0542966268,134.8631251571051,146.29639591931257,40,81,success,483.4421079540625,,
3,Launch products vs growth demand level,25,26,1,3,0,50,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,135844.49284228042,55669.75154629929,52181.773731958936,11,7,8,7,5,4,80174.74129598113,83662.71911032149,144.01850029688313,160.3293892232757,40,81,success,483.46092654415406,,
3,Launch products vs growth demand level,26,27,1,3,0,55,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,147635.0786342104,56365.72295439249,52181.773731959314,11,9,8,7,6,4,91269.3556798179,95453.30490225108,161.92350757865233,182.92460772330864,40,81,success,483.459967603907,,
3,Launch products vs growth demand level,27,28,1,3,0,60,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,156135.08789957076,57025.835234445374,52181.7737319592,11,8,8,8,7,4,99109.2526651254,103953.31416761156,173.79710837669646,199.2138379610972,40,81,success,483.42398642003536,,
3,Launch products vs growth demand level,28,29,0,4,0,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,65804.29841475782,1814.2880391072688,1045.1993219186843,8,6,8,4,3,4,63990.01037565056,64759.09909283914,3527.003926407255,6195.86118501877,40,81,success,483.4298763528932,,
3,Launch products vs growth demand level,29,30,0,4,0,35,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,79558.66825186249,5220.461796397838,2677.383252140833,8,4,8,5,4,4,74338.20645546465,76881.28499972165,1423.9775972838002,2871.50840053427,40,81,success,320.66513592610136,,
3,Launch products vs growth demand level,30,31,0,4,0,40,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,92603.08773608351,6517.838429429568,2777.0420731117774,9,4,8,6,4,4,86085.24930665395,89826.04566297174,1320.763781408862,3234.594338079954,40,81,success,321.97910986305214,,
3,Launch products vs growth demand level,31,32,0,4,0,45,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103552.869516816,6578.188625384908,2777.042073111632,9,4,8,6,4,4,96974.68089143108,100775.82744370436,1474.185165764486,3628.890913085325,40,81,success,483.37930235406384,,
3,Launch products vs growth demand level,32,33,0,4,0,50,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,118870.1318841643,7777.620539876632,2777.042073111603,10,8,8,7,6,4,111092.51134428766,116093.08981105268,1428.3611648923386,4180.458442999872,40,81,success,483.40706488490105,,
3,Launch products vs growth demand level,33,34,0,4,0,55,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,132297.82954060598,8597.343143011414,2777.042073111952,12,10,8,8,7,4,123700.48639759456,129520.78746749402,1438.822254037259,4663.983622054134,40,81,success,483.5026295739226,,
3,Launch products vs growth demand level,34,35,0,4,0,60,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,140838.782300314,10346.59967438114,2777.042073111661,12,8,8,8,8,4,130492.18262593284,138061.74022720233,1261.208384712516,4971.539378678008,40,81,success,483.41824148618616,,
