Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Growth Slope,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Competition Time,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
4,Launch products vs growth slope,24,25,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,132874.7251110804,55605.30648942164,52181.77373195914,9,7,8,6,5,4,77269.41862165876,80692.95137912125,138.9605120445807,154.6381918591246,40,81,success,483.4529287328478,,,45,3,300,0.5,15,3,9,7,8,6,5,4,3,300
4,Launch products vs growth slope,25,26,1,3,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,131818.1516039656,55240.47429034271,52181.773731959314,9,7,8,6,5,4,76577.6773136229,79636.3778720063,138.62603154189503,152.6133976991129,40,81,success,483.36440940294415,,,45,3,300,0.5,15,3,9,7,8,6,5,4,3,300
4,Launch products vs growth slope,26,27,1,3,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,130080.84195902832,55043.54126235112,52181.77373195943,9,7,8,6,5,4,75037.3006966772,77899.06822706888,136.32353401651773,149.28405582226992,40,81,success,483.4291773040313,,,45,3,300,0.5,15,3,9,7,8,6,5,4,3,300
4,Launch products vs growth slope,27,28,1,3,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128521.82802858594,54722.0122114167,52181.77373195914,9,7,8,6,5,4,73799.81581716923,76340.0542966268,134.8631251571051,146.29639591931257,40,81,success,483.4928653431125,,,45,3,300,0.5,15,3,9,7,8,6,5,4,3,300
4,Launch products vs growth slope,28,29,1,3,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,126315.3938358415,54423.28806826426,52181.773731959605,10,8,8,6,5,4,71892.10576757725,74133.6201038819,132.09805640078469,142.06803410838737,40,81,success,483.4316078519914,,,45,3,300,0.5,15,3,10,8,8,6,5,4,3,300
4,Launch products vs growth slope,29,30,1,3,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,124518.8449959844,53854.765762351686,52170.22889300837,10,6,8,6,4,4,70664.07923363271,72348.61610297603,131.2123044884394,138.67797331568133,40,81,success,483.46217178506777,,,45,3,300,0.5,15,3,10,6,8,6,4,4,3,300
4,Launch products vs growth slope,30,31,1,3,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,122551.0402768294,53485.78035995457,52134.16729139621,11,6,8,6,4,4,69065.25991687483,70416.87298543319,129.12826446968094,135.0685675899425,40,81,success,435.1463803970255,,,45,3,300,0.5,15,3,11,6,8,6,4,4,3,300
4,Launch products vs growth slope,31,32,1,3,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,120318.92668759968,53144.0068354625,52054.85273355522,11,6,8,6,4,4,67174.91985213719,68264.07395404446,126.401684502479,131.1387322589438,40,81,success,421.5661999250297,,,45,3,300,0.5,15,3,11,6,8,6,4,4,3,300
4,Launch products vs growth slope,32,33,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,108522.61571112092,8008.770535246003,2777.0420731114573,10,8,8,7,6,4,100513.84517587491,105745.57363800946,1255.0471353064863,3807.849173834441,40,81,success,483.4079998931848,,,45,3,300,0.5,15,3,10,8,8,7,6,4,3,300
4,Launch products vs growth slope,33,34,0,4,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,107714.85880768191,7613.920351223322,2777.0420731118065,10,8,8,7,6,4,100100.93845645859,104937.81673457011,1314.709556166758,3778.762221523793,40,81,success,483.3745489791036,,,45,3,300,0.5,15,3,10,8,8,7,6,4,3,300
4,Launch products vs growth slope,34,35,0,4,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,105688.31759405156,6898.364799107716,2777.0420731114864,10,8,8,7,6,4,98789.95279494385,102911.27552094008,1432.0778281792527,3705.787410186228,40,81,success,483.3821296740789,,,45,3,300,0.5,15,3,10,8,8,7,6,4,3,300
