analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,compete_products,established_demand,launch_demand,compete_demand,profit_established,profit_launch,profit_compete,probability_launch,availability,analysis11_mode,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
11,Product-mix + seven-factor full factorial design,37,38,4,0,0,0,15,30,25,600,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,31.28376264299732,,
11,Product-mix + seven-factor full factorial design,38,39,4,0,0,0,15,30,25,600,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.64364836004097,,
11,Product-mix + seven-factor full factorial design,39,40,4,0,0,0,15,30,25,600,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.150008332100697,,
11,Product-mix + seven-factor full factorial design,40,41,4,0,0,0,15,30,25,300,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.98743419710081,,
11,Product-mix + seven-factor full factorial design,41,42,4,0,0,0,15,30,25,300,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,27.60697578405961,,
11,Product-mix + seven-factor full factorial design,42,43,4,0,0,0,15,30,25,300,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.615758736035787,,
11,Product-mix + seven-factor full factorial design,43,44,4,0,0,0,15,30,25,300,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.352199672022834,,
11,Product-mix + seven-factor full factorial design,44,45,4,0,0,0,15,30,25,600,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.898681218968704,,
11,Product-mix + seven-factor full factorial design,45,46,4,0,0,0,15,30,25,600,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.385971538955346,,
11,Product-mix + seven-factor full factorial design,46,47,4,0,0,0,15,30,25,600,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.00557328609284,,
11,Product-mix + seven-factor full factorial design,47,48,4,0,0,0,15,30,25,600,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,31.11138021294028,,
11,Product-mix + seven-factor full factorial design,48,49,4,0,0,0,30,30,25,300,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,12.23222421493847,,
11,Product-mix + seven-factor full factorial design,49,50,4,0,0,0,30,30,25,300,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.515798606094904,,
11,Product-mix + seven-factor full factorial design,50,51,4,0,0,0,30,30,25,300,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.420609956956469,,
11,Product-mix + seven-factor full factorial design,51,52,4,0,0,0,30,30,25,300,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,12.245219044038096,,
11,Product-mix + seven-factor full factorial design,52,53,4,0,0,0,30,30,25,600,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,8.770304000936449,,
11,Product-mix + seven-factor full factorial design,53,54,4,0,0,0,30,30,25,600,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048442,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.8340558212367,467.4422659683624,0.1217055107760831,0.1135819003287185,40,81,success,9.453187478007749,,
11,Product-mix + seven-factor full factorial design,54,55,4,0,0,0,30,30,25,600,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.735478376038373,,
11,Product-mix + seven-factor full factorial design,55,56,4,0,0,0,30,30,25,600,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.361844803090207,,
11,Product-mix + seven-factor full factorial design,56,57,4,0,0,0,30,30,25,300,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,10.394098988967016,,
11,Product-mix + seven-factor full factorial design,57,58,4,0,0,0,30,30,25,300,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.63049404800404,,
11,Product-mix + seven-factor full factorial design,58,59,4,0,0,0,30,30,25,300,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172485,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042072859,565.1861097715155,0.3342072344219298,0.2973958476922133,40,81,success,11.714972126996145,,
11,Product-mix + seven-factor full factorial design,59,60,4,0,0,0,30,30,25,300,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172485,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042072859,565.1861097715155,0.3342072344219298,0.2973958476922133,40,81,success,11.730093023972586,,
11,Product-mix + seven-factor full factorial design,60,61,4,0,0,0,30,30,25,600,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.36244495701976,,
11,Product-mix + seven-factor full factorial design,61,62,4,0,0,0,30,30,25,600,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.661658226978034,,
11,Product-mix + seven-factor full factorial design,62,63,4,0,0,0,30,30,25,600,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,10.039724127040245,,
11,Product-mix + seven-factor full factorial design,63,64,4,0,0,0,30,30,25,600,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,10.24904928309843,,
11,Product-mix + seven-factor full factorial design,64,65,4,0,0,0,15,60,10,300,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,29.406930228928104,,
11,Product-mix + seven-factor full factorial design,65,66,4,0,0,0,15,60,10,300,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.74423896195367,,
11,Product-mix + seven-factor full factorial design,66,67,4,0,0,0,15,60,10,300,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,29.383070530020632,,
11,Product-mix + seven-factor full factorial design,67,68,4,0,0,0,15,60,10,300,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,29.820112261921167,,
11,Product-mix + seven-factor full factorial design,68,69,4,0,0,0,15,60,10,600,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,31.58097100793384,,
11,Product-mix + seven-factor full factorial design,69,70,4,0,0,0,15,60,10,600,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,32.518788903951645,,
11,Product-mix + seven-factor full factorial design,70,71,4,0,0,0,15,60,10,600,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.516305907047357,,
11,Product-mix + seven-factor full factorial design,71,72,4,0,0,0,15,60,10,600,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,32.46809713798575,,
11,Product-mix + seven-factor full factorial design,72,73,4,0,0,0,15,60,10,300,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,29.14455305901356,,
11,Product-mix + seven-factor full factorial design,73,74,4,0,0,0,15,60,10,300,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.10145283897873,,
11,Product-mix + seven-factor full factorial design,74,75,4,0,0,0,15,60,10,300,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,27.88020049093757,,
11,Product-mix + seven-factor full factorial design,75,76,4,0,0,0,15,60,10,300,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.83661335404031,,
11,Product-mix + seven-factor full factorial design,76,77,4,0,0,0,15,60,10,600,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,31.74841882591136,,
11,Product-mix + seven-factor full factorial design,77,78,4,0,0,0,15,60,10,600,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.84113897802308,,
