analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,growth_slope,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
4,Launch products vs growth slope,20,21,2,2,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,146810.3621609446,102513.9832105423,101571.49421929364,9,8,8,6,5,4,44296.37895040232,45238.86794165097,43.210084676377086,44.53894105759624,40,81,success,436.66740441392176,,
4,Launch products vs growth slope,21,22,2,2,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,145773.24458894593,102344.3227079578,101532.70809381844,10,7,8,6,4,4,43428.92188098814,44240.53649512748,42.4341289598581,43.5726942831548,40,81,success,380.1021608689334,,
4,Launch products vs growth slope,22,23,2,2,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,145040.67888352537,102134.52454337532,101445.98055140609,12,7,8,6,4,4,42906.15434015004,43594.6983321193,42.00945227089034,42.9733125897762,40,81,success,366.7179876328446,,
4,Launch products vs growth slope,23,24,2,2,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,144141.17916363565,101782.96093412556,101319.16663984698,12,7,8,6,4,4,42358.218229510094,42822.01252378867,41.616217332215896,42.26447368641063,40,81,success,384.2293640738353,,
4,Launch products vs growth slope,24,25,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,132874.7251110804,55605.30648942164,52181.77373195914,9,7,8,6,5,4,77269.41862165876,80692.95137912125,138.9605120445807,154.6381918591246,40,81,success,483.4529287328478,,
4,Launch products vs growth slope,25,26,1,3,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,131818.1516039656,55240.47429034271,52181.773731959314,9,7,8,6,5,4,76577.6773136229,79636.3778720063,138.62603154189503,152.6133976991129,40,81,success,483.36440940294415,,
4,Launch products vs growth slope,26,27,1,3,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,130080.84195902832,55043.54126235112,52181.77373195943,9,7,8,6,5,4,75037.30069667721,77899.0682270689,136.32353401651773,149.28405582226992,40,81,success,483.4291773040313,,
4,Launch products vs growth slope,27,28,1,3,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128521.82802858594,54722.0122114167,52181.77373195914,9,7,8,6,5,4,73799.81581716923,76340.0542966268,134.8631251571051,146.29639591931257,40,81,success,483.4928653431125,,
4,Launch products vs growth slope,28,29,1,3,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,126315.3938358415,54423.28806826426,52181.773731959605,10,8,8,6,5,4,71892.10576757725,74133.6201038819,132.09805640078469,142.06803410838737,40,81,success,483.4316078519914,,
4,Launch products vs growth slope,29,30,1,3,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,124518.8449959844,53854.765762351686,52170.22889300837,10,6,8,6,4,4,70664.07923363271,72348.61610297603,131.2123044884394,138.67797331568133,40,81,success,483.46217178506777,,
4,Launch products vs growth slope,30,31,1,3,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,122551.0402768294,53485.78035995457,52134.16729139621,11,6,8,6,4,4,69065.25991687481,70416.87298543318,129.12826446968094,135.0685675899425,40,81,success,435.1463803970255,,
4,Launch products vs growth slope,31,32,1,3,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,120318.92668759968,53144.0068354625,52054.85273355522,11,6,8,6,4,4,67174.91985213719,68264.07395404446,126.401684502479,131.1387322589438,40,81,success,421.5661999250297,,
4,Launch products vs growth slope,32,33,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,108522.61571112092,8008.770535246003,2777.0420731114573,10,8,8,7,6,4,100513.84517587491,105745.57363800946,1255.0471353064863,3807.849173834441,40,81,success,483.4079998931848,,
4,Launch products vs growth slope,33,34,0,4,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,107714.85880768191,7613.920351223322,2777.0420731118065,10,8,8,7,6,4,100100.9384564586,104937.81673457012,1314.709556166758,3778.762221523793,40,81,success,483.3745489791036,,
