Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Competition Time,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Growth Slope,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
7,Decline products vs net revenue,21,22,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103378.01198231408,102987.9331213333,101356.67321490213,6,6,8,4,4,4,390.0788609807787,2021.3387674119585,0.3787617142691994,1.9942828659403773,40,81,success,9.01071480102837,,,45,0.5,3,200,0.5,15,6,6,8,4,4,4,3,200
7,Decline products vs net revenue,22,23,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169600.14045494088,169210.0615939601,167763.1717343136,6,6,8,4,4,4,390.0788609807787,1836.9687206272793,0.2305293534593822,1.0949773431420844,40,81,success,9.180620515951889,,,45,0.5,3,300,0.5,15,6,6,8,4,4,4,3,300
7,Decline products vs net revenue,23,24,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,235822.2689275693,235432.1900665885,234169.67025372613,6,6,8,4,4,4,390.0788609808078,1652.5986738431675,0.1656862899123737,0.705727036320525,40,81,success,17.413985665887594,,,45,0.5,3,400,0.5,15,6,6,8,4,4,4,3,400
7,Decline products vs net revenue,24,25,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,302044.3974002013,301654.3185392205,300576.1687731405,6,6,8,4,4,4,390.0788609808078,1468.2286270607729,0.1293132028972065,0.4884714024580293,40,81,success,30.80806775088422,,,45,0.5,3,500,0.5,15,6,6,8,4,4,4,3,500
7,Decline products vs net revenue,25,26,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,368683.2728115206,367876.4470118421,366982.6672925491,8,6,8,5,4,4,806.8257996785105,1700.6055189715116,0.2193197760368003,0.4634021359967479,40,81,success,87.66215011803433,,,45,0.5,3,600,0.5,15,8,6,8,5,4,4,3,600
7,Decline products vs net revenue,26,27,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,444011.7604414589,434098.5754844697,433389.165811964,12,6,8,7,4,4,9913.184956989193,10622.59462949488,2.2836253138876854,2.451052187609092,40,81,success,218.54057747498155,,,45,0.5,3,700,0.5,15,12,6,8,7,4,4,3,700
7,Decline products vs net revenue,27,28,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,522461.8076821842,500320.7039570989,499795.66433137417,12,6,8,7,4,4,22141.103725085326,22666.143350810045,4.425382269805861,4.535082028199031,40,81,success,308.00950858485885,,,45,0.5,3,800,0.5,15,12,6,8,7,4,4,3,800
7,Decline products vs net revenue,28,29,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,600799.4941679398,566542.8324297314,566202.1628507923,12,6,8,7,4,4,34256.66173820838,34597.33131714747,6.046614620697236,6.110420197434797,40,81,success,308.2822500749025,,,45,0.5,3,900,0.5,15,12,6,8,7,4,4,3,900
7,Decline products vs net revenue,29,30,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,679375.5601589404,633435.75004525,632608.6613702029,12,7,8,7,4,4,45939.81011369033,46766.89878873748,7.252481425370856,7.392706051074674,40,81,success,314.54445991804823,,,45,0.5,3,1000,0.5,15,12,7,8,7,4,4,3,1000
7,Decline products vs net revenue,30,31,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,31697.892002769782,31502.852572279386,28629.53799182453,5,5,8,4,4,4,195.03943049039663,3068.3540109452515,0.6191167293276152,10.717441587151889,40,81,success,6.918696701992303,,,45,0.5,3,100,0.5,15,5,5,8,4,4,4,3,100
