analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,net_revenue,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
7,Decline products vs net revenue,40,41,0,0,4,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,26234.205167661865,26234.205167661865,22234.20516766188,4,4,8,4,4,4,0.0,3999.9999999999854,0.0,17.990299045264322,40,81,success,5.010018453001976,,
7,Decline products vs net revenue,41,42,0,0,4,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,79924.73415924565,79924.73415924565,75924.73415924568,4,4,8,4,4,4,0.0,3999.999999999971,0.0,5.268375377660607,40,81,success,4.7201345739886165,,
7,Decline products vs net revenue,42,43,0,0,4,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082874,133615.26315082874,129615.26315082936,4,4,8,4,4,4,0.0,3999.999999999389,0.0,3.086056304452902,40,81,success,5.660138288047165,,
7,Decline products vs net revenue,43,44,0,0,4,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,187305.7921424132,187305.7921424132,183305.79214241327,4,4,8,4,4,4,0.0,3999.999999999942,0.0,2.182145993996893,40,81,success,5.358941979007796,,
7,Decline products vs net revenue,44,45,0,0,4,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,240996.32113400043,240996.32113400043,236996.3211339994,4,4,8,4,4,4,0.0,4000.000000001048,0.0,1.6877899120380944,40,81,success,14.114694692892954,,
7,Decline products vs net revenue,45,46,0,0,4,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,294686.8501255794,294686.8501255794,290686.8501255806,4,4,8,4,4,4,0.0,3999.9999999987776,0.0,1.376051238049029,40,81,success,26.285414025885984,,
7,Decline products vs net revenue,46,47,0,0,4,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,351786.65473166935,348377.3791171656,344377.3791171646,10,4,8,6,4,4,3409.275614503771,7409.275614504761,0.9786156676255292,2.1514989264100204,40,81,success,167.4233215949498,,
7,Decline products vs net revenue,47,48,0,0,4,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,413423.1494653376,402067.9081087483,398067.9081087485,10,4,8,6,4,4,11355.241356589308,15355.241356589191,2.8242098231620183,3.8574426734230185,40,81,success,255.2057452187873,,
7,Decline products vs net revenue,48,49,0,0,4,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,475059.6441989881,455758.43710032856,451758.43710033,10,4,8,6,4,4,19301.20709865953,23301.20709865808,4.2349642985129545,5.157890851628559,40,81,success,305.2954346430488,,
7,Decline products vs net revenue,49,50,0,0,4,1000,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,536696.1389326511,509448.9660919228,505448.9660919207,10,4,8,6,4,4,27247.172840728366,31247.17284073046,5.348361593457823,6.182062866273204,40,81,success,305.20155358104967,,
